question,a,b,c,d,correct,explanation
According to the AI Fluency Framework what does AI Fluency mean?,The ability to work with AI effectively efficiently ethically and safely,Becoming a technical expert in AI development,Using AI to automate all possible tasks,Memorizing the best prompts for different AI tools,a,AI Fluency is defined as the ability to work effectively efficiently ethically and safely within emerging modalities of Human-AI interaction. Technical expertise automation and prompt memorization are narrow or distorted interpretations.
The four core competencies in the AI Fluency Framework are known as The 4 Ds. Which of the following lists all four correctly?,Direction - Description - Decision-making - Diligence,Data - Delegation - Discernment - Documentation,Design - Description - Development - Deployment,Delegation - Description - Discernment - Diligence,d,The four core competencies are Delegation - Description - Discernment - and Diligence. Each covers a distinct phase of human-AI interaction: deciding what to delegate communicating intent evaluating outputs and ensuring ethical accountable use.
Which competency focuses primarily on deciding what work should be done by AI versus what should be handled by humans?,Discernment,Description,Delegation,Diligence,c,Delegation is the strategic competency concerned with if when and how to involve AI — determining which tasks to hand off entirely which to collaborate on and which to handle without AI involvement.
According to the framework what is the primary focus of the Diligence competency?,Evaluating the quality of AI outputs,Making AI work faster and more efficiently,Writing better prompts for AI systems,Responsible AI use transparency and accountability,d,Diligence is the ethics-centered competency. It addresses who is responsible for AI-assisted work whether AI systems and data practices are appropriate for the context and whether the process meets standards of transparency.
Which of the following best describes Problem Awareness within the Delegation competency?,Understanding which AI platform to use,Knowing how to write effective prompts,Clearly defining your goals and understanding what work is needed before involving AI,Evaluating the quality of AI outputs,c,Problem Awareness is the pre-engagement phase of Delegation. It requires understanding the goal and deconstructing the task before reaching for any AI tool — without it you are delegating blindly and cannot evaluate whether the AI delivered what was needed.
Which competency focuses on communicating clearly with AI systems about what you want how you want it done and how you want to interact?,Diligence,Delegation,Description,Discernment,c,Description governs the quality of communication between human and AI — defining the desired output specifying the approach and shaping interaction behavior. It converts a delegation decision into an actionable AI interaction.
Which of the following best describes Product Description within the Description competency?,Explaining which AI platform to use for a task,Clearly defining what you want the AI to create or provide,Taking responsibility for AI-generated content accuracy,Evaluating whether AI outputs meet your requirements,b,Product Description is the output-specification component of Description. It establishes what the deliverable looks like before the AI begins distinct from process description and interaction description.
Which competency involves critically evaluating AI outputs processes and behaviors to ensure quality and appropriateness?,Delegation,Discernment,Description,Diligence,b,Discernment is the critical evaluation competency. It operates after the AI has produced output assessing accuracy quality appropriateness and identifying where revision or rejection is warranted.
Which of the following best describes Process Discernment within the Discernment competency?,Judging the final quality of AI-generated content,Deciding which AI system to use for a task,Ensuring transparency about AI involvement in your work,Assessing whether the AI reasoning process and problem-solving approach is effective,d,Process Discernment targets the how of AI behavior — evaluating the reasoning path and methodology not just the final output. A correct-looking output produced through flawed reasoning is still a liability.
Which of the following best describes Transparency Diligence within the Diligence competency?,Choosing the most advanced AI system available,Making AI work as fast as possible,Ensuring AI outputs are technically accurate,Being open and honest about AI's role in your work with those who need to know,d,Transparency Diligence addresses disclosure — ensuring stakeholders who have a legitimate interest in knowing AI was involved are not left uninformed. It is distinct from Creation Diligence and Accountability Diligence.
