question,answer,category
What is the correct way to determine when an agentic loop should stop,"Check stop_reason: if ""tool_use"" continue the loop; if ""end_turn"" exit. Never parse Claude's text for completion signals.",fundamental
What are the three agentic loop anti-patterns,1) Parsing natural language signals for termination 2) Using iteration caps as the primary stop mechanism 3) Checking for assistant text content as a completion indicator,fundamental
How are tool results added to the conversation,Appended as a user message to the conversation history so Claude can reason about the next action,fundamental
What is the hub-and-spoke pattern in multi-agent systems,A coordinator agent manages all inter-subagent communication — it analyzes requests decomposes tasks delegates to subagents aggregates results and checks for gaps. Subagents never talk to each other directly.,fundamental
Do subagents automatically inherit the coordinator's context,No. Subagents have isolated context. Everything — prior findings source URLs query goals — must be passed explicitly in the subagent's prompt.,fundamental
What is the coordinator's gap-checking loop,After synthesis the coordinator evaluates whether coverage is complete. If gaps exist it re-delegates with targeted queries and re-invokes synthesis until coverage is sufficient.,fundamental
What mechanism is used to spawn subagents in the Claude Agent SDK,"The Task tool. The coordinator's allowedTools must include ""Task"" — otherwise it cannot spawn subagents.",fundamental
Claude Architect Certification Fundamental Study online at https://quizlet.com/_j7v4lj How do you run subagents in parallel,Emit multiple Task tool calls in a single coordinator response rather than across separate turns.,fundamental
What is the difference between a procedural coordinator prompt and a goal-oriented one,Procedural: lists step-by-step instructions (Step 1: call search...). Goal-oriented: specifies research goals and quality criteria and lets subagents decide how to achieve them.,fundamental
What is the foundational principle of programmatic enforcement vs prompts,Prompts are probabilistic suggestions. Hooks and programmatic gates provide deterministic guarantees. When errors have financial or compliance consequences use code enforcement not prompt instructions.,fundamental
What is a prerequisite gate,A programmatic check that blocks a downstream tool call until a required prior step has completed — e.g. blocking process_refund until get_customer has returned a verified customer ID.,fundamental
What should a structured human handoff summary include,Customer ID issue summary root cause recommended action reason for escalation and refund amount. The agent minimizes the human's work by handing off a complete picture.,fundamental
What does a PostToolUse hook do,Intercepts tool results after execution and before Claude sees them — used to normalize data formats (dates status codes field names) deterministically.,fundamental
What does a pre-tool hook do,Intercepts outgoing tool calls before execution — used to enforce compliance rules like blocking refunds above a threshold and redirecting to escalation.,fundamental
Claude Architect Certification Fundamental Study online at https://quizlet.com/_j7v4lj prompt for enforcement,"""Use hooks for: refund limits data normalization PII redaction blocking admin tools. Use prompts for: tone of voice suggested upsells preferred resolution order. Rule: if you'd get fired for the 1% failure use a hook.""",fundamental
What is the difference between prompt chaining and dynamic adaptive decomposition,Prompt chaining uses a fixed sequential pipeline for predictable workflows where steps are known in advance. Dynamic adaptive decomposition generates subtasks based on what is discovered at each step — used for investigative open-ended tasks.,fundamental
When should you split a code review into multiple passes,When reviewing many files: run per-file local passes for focused individual analysis then a separate cross-file integration pass to catch systemic patterns. Single-pass reviews cause attention dilution and contradictory findings.,fundamental
What is the difference between --resume and fork_session,--resume continues a specific named prior session. fork_session creates independent branches from a shared analysis baseline to explore divergent approaches without contaminating each other.,fundamental
When should you start a fresh session instead of resuming,When files have changed extensively since the last session. Prior tool results are stale. Start fresh and inject a structured summary of prior findings rather than resuming with outdated context.,fundamental
What is the stale context trap,Resuming a session after editing files without informing the agent of changes. The agent's context contains old tool results and doesn't know the files changed leading to incorrect analysis.,fundamental
Why do tool descriptions matter so much,Claude uses tool descriptions as its primary decision-making mechanism for tool selection. Minimal or overlapping descriptions cause misrouting. Claude cannot see your code — only the description. 3 / 11,fundamental
What are the five ingredients of a bulletproof tool description,1) Purpose statement 2) Input format 3) Output format 4) Edge case handling 5) Boundary explanation — when to use this tool vs a similar alternative,fundamental
What is the system prompt keyword collision problem,Action verbs in your system prompt (analyze search check) can match tool names and create unintended tool associations overriding well-written descriptions. Audit system prompts for verb-to-tool-name collisions.,fundamental
What are the four MCP error categories,Transient (timeout — retryable) Validation (bad input — not retryable without fixing input) Business (policy violation — not retryable) Permission (no access — not retryable without escalation),fundamental
What is the critical distinction between an empty result and an error,An empty result (0 records found) is a successful query with no matches — isError: false. An access failure (timeout 500 error) is a genuine error — isError: true. Conflating them causes the coordinator to make wrong recovery decisions.,fundamental
What should a structured MCP error response include,"""errorCategory (transient/validation/business/permission) isRetryable boolean human-readable description and for transient errors: attemptsMade partialResults and whatWasAttempted""",fundamental
What is the principle of scoped tool access,Each agent should only have tools relevant to its role. Giving agents 18 tools instead of 4-5 degrades tool selection reliability. A synthesis agent should not have web_search — it will misuse it.,fundamental
What are the three tool_choice modes,"""auto (Claude decides whether and which tool to call) any (Claude must call a tool but picks which — prevents conversational responses) forced/specific (Claude must call one named tool — used to guarantee pipeline ordering)""",fundamental
Claude Architect Certification Fundamental Study online at https://quizlet.com/_j7v4lj What is the forced-then-release tool_choice pattern,Force a specific tool for steps that must run first (e.g. extract_metadata). Then switch to auto for subsequent steps. Never force every step — that's a script not an agent.,fundamental
What is the difference between .mcp.json and ~/.claude.json scope,.mcp.json is project-level committed to version control and shared with the whole team. ~/.claude.json is user-level personal and used for experimental or personal servers. Both are available simultaneously.,fundamental
What are MCP resources used for,Exposing content catalogs (issue summaries documentation hierarchies database schemas) so agents can browse what's available before making targeted tool calls — reducing unnecessary exploratory calls.,fundamental
