question,a,b,c,d,correct,explanation
What is an agentic loop,Splitting large reviews into per-file local analysis passes plus cross-file integration passes to avoid attention dilution and contradictory findings.,A control flow pattern where requests are sent to Claude. The stop_reason is inspected ('tool_use' vs 'end_turn'). Requested tools are executed and results returned for the next iteration until completion.,When business rules require guaranteed compliance - as hooks provide deterministic guarantees.,Running Claude Code in non-interactive mode in automated pipelines - preventing interactive input hangs.,b,A control flow pattern where requests are sent to Claude. The stop_reason is inspected ('tool_use' vs 'end_turn'). Requested tools are executed and results returned for the next iteration until completion.
What does stop_reason 'tool_use' indicate,The model wants to call a tool. The loop should continue by executing the requested tool and returning results.,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,Task decomposition - delegation to subagents - result aggregation and deciding which subagents to invoke based on query complexity.,Tool results should be appended to the conversation history so the model can reason about the next action based on new information.,a,The model wants to call a tool. The loop should continue by executing the requested tool and returning results.
What does stop_reason 'end_turn' indicate,A control flow pattern where requests are sent to Claude. The stop_reason is inspected ('tool_use' vs 'end_turn'). Requested tools are executed and results returned for the next iteration until completion.,The model has finished its response and no more tool calls are needed. The loop should terminate.,When Edit fails due to non-unique text matches - use Read to load full file contents followed by Write as a fallback.,Files with YAML frontmatter paths fields containing glob patterns activate rules only when editing matching files.,b,The model has finished its response and no more tool calls are needed. The loop should terminate.
How should tool results be handled in an agentic loop,Block policy-violating actions (e.g. refunds exceeding $500) and redirect to alternative workflows like human escalation.,Tool results should be appended to the conversation history so the model can reason about the next action based on new information.,In .claude/commands/ directory (shared via version control).,Use independent review instances without prior reasoning context and split reviews into focused passes.,b,Tool results should be appended to the conversation history so the model can reason about the next action based on new information.
What is model-driven decision-making in agentic systems,Claude reasons about which tool to call next based on context as opposed to pre-configured decision trees or fixed tool sequences.,Testing standards - valuable test criteria and available fixtures to improve quality and reduce low-value test output.,For blocking workflows like pre-merge checks where developers wait for results.,The central agent in a hub-and-spoke architecture that manages task decomposition - delegation and result aggregation.,a,Claude reasons about which tool to call next based on context as opposed to pre-configured decision trees or fixed tool sequences.
What is hub-and-spoke architecture in multi-agent systems,A protocol for designing tool and resource interfaces that allow Claude to integrate with backend systems.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,A pattern where a coordinator agent manages all inter-subagent communication - error handling and information routing centrally.,It isolates verbose exploration output while the main agent coordinates high-level understanding.,c,A pattern where a coordinator agent manages all inter-subagent communication - error handling and information routing centrally.
Do subagents inherit the coordinator's conversation history automatically,User-level (~/.claude/CLAUDE.md) - project-level (.claude/CLAUDE.md or root CLAUDE.md) and directory-level (subdirectory CLAUDE.md files).,No. Subagents operate with isolated context and do not automatically inherit the coordinator's conversation history.,97% overall accuracy may mask poor performance on specific document types or fields.,Use independent review instances without prior reasoning context and split reviews into focused passes.,b,No. Subagents operate with isolated context and do not automatically inherit the coordinator's conversation history.
What is the coordinator agent's role in multi-agent systems,When the required information is simply absent from the source document (vs format or structural errors).,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,Returning empty results as success prevents recovery and risks incomplete outputs; the coordinator needs to know about failures.,Task decomposition - delegation to subagents - result aggregation and deciding which subagents to invoke based on query complexity.,d,Task decomposition - delegation to subagents - result aggregation and deciding which subagents to invoke based on query complexity.
What is the risk of overly narrow task decomposition,Giving access to too many tools (e.g. 18 instead of 4-5) degrades tool selection reliability by increasing decision complexity.,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,Customer ID - root cause analysis - refund amount (if applicable) and recommended actions for human agents.,It can lead to incomplete coverage of broad research topics - missing important aspects that weren't explicitly assigned to any subagent.,d,It can lead to incomplete coverage of broad research topics - missing important aspects that weren't explicitly assigned to any subagent.
What is the Task tool in the Claude Agent SDK,The mechanism for spawning subagents. The coordinator's allowedTools must include 'Task' to invoke subagents.,Models reliably process information at the beginning and end of long inputs but may omit findings from middle sections.,Achieving consistently formatted - actionable output when detailed instructions alone produce inconsistent results.,Configuration for subagents including descriptions - system prompts and tool restrictions for each subagent type.,a,The mechanism for spawning subagents. The coordinator's allowedTools must include 'Task' to invoke subagents.
