question,a,b,c,d,correct,explanation
Which of the following best describes Claude's capabilities?,Claude is a search engine that retrieves information from the web,Claude is a voice assistant for smart home devices,Claude is a chatbot designed primarily for customer service,Claude is an AI assistant that can help with writing research coding problem-solving and more,d,Claude is a general-purpose AI assistant built by Anthropic. It is not a search engine voice assistant or customer service tool. Its design covers a broad range of cognitive tasks: drafting and editing text analyzing information writing and debugging code answering questions and reasoning through problems.
What is the primary difference between projects and skills?,Projects are free and skills require a paid plan,Projects are for teams and skills are for individuals,Projects store knowledge and skills perform tasks,Projects work offline and skills require internet,c,Projects in Claude.ai are persistent workspaces where you store context — documents instructions and background information — that Claude retains across conversations. Skills refer to what Claude can actively do: write analyze code and reason. Projects shape what Claude knows; skills determine what Claude can do.
What data can Claude access through connectors?,Only data you have permission to access,All data in the connected service,Only data created in the last 30 days,Only docs that have been individually shared with Anthropic,a,Connectors operate through OAuth authorization — Claude accesses the connected service on your behalf using your credentials and is bound by the same permission boundaries you have within that service. Anthropic does not receive copies of your data and there is no time-based or manual sharing filter applied.
Who needs to complete the initial setup before team members can use Enterprise Search?,Anthropic support team,Each individual user,The IT security team,An organization Owner (admin),d,Enterprise Search requires organizational-level configuration — connecting data sources authorizing integrations and setting access policies — which are administrative actions scoped to the Owner role. Once an Owner completes configuration team members can use Enterprise Search within the permissions and data sources the Owner has established.
What happens when your project knowledge base approaches context limits?,Claude stops accepting new file uploads,Claude seamlessly enables RAG mode to expand capacity by up to 10x,You must create a new project to continue,Older files are automatically deleted to make room,b,When a project knowledge base approaches the context window limit Claude automatically activates RAG (Retrieval-Augmented Generation) mode. Instead of loading all stored files into the active context simultaneously it retrieves only the most relevant chunks for each query extending effective capacity significantly without requiring manual intervention.
What can you do with a published artifact?,Only view it - no interaction is possible,Share it with anyone via link and others can remix it in their own Claude conversations,It automatically gets posted to social media,It becomes permanently locked and cannot be modified,b,Publishing an artifact generates a shareable link accessible to anyone including people without a Claude account. Recipients can view the artifact and remix it — opening it in their own Claude conversation and using it as a starting point to modify or build on. The artifact is not posted anywhere automatically and does not become locked.
Which three elements make up an effective prompt?,Introduction body and conclusion,Setting the stage defining the task and specifying rules,Question answer and follow-up,Subject verb and object,b,Setting the stage establishes context. Defining the task specifies what you want produced. Specifying rules constrains the output — format length tone and what to include or exclude. Together they give Claude enough signal to generate a response that matches intent on the first attempt.
If Claude's response is too generic what should you try?,Add more details about your audience role or constraints,Ask Claude to search the web for better answers,Switch to a different AI model,Start a new conversation and ask the same question,a,Generic responses result from underspecified prompts. Claude defaults to broad general-purpose output when it lacks signal about who the response is for what perspective to take or what boundaries apply. Adding specificity about audience expertise level role format and constraints narrows the output toward what you actually need.
Which Claude product is best suited for navigating an unfamiliar codebase and automating development tasks?,Claude Code,Claude for Chrome,Claude in Slack,Claude for Excel,a,Claude Code is a command-line tool built for agentic coding work — it can read and navigate codebases understand file structure and dependencies write and edit code run terminal commands and automate development workflows. Chrome Slack and Excel integrations are purpose-built for browsing messaging and spreadsheet tasks respectively.
Which of the following tasks is a good candidate for Research mode?,Reformatting a PDF file,Conducting comprehensive market analysis,Brainstorming product codenames,Redlining legal documents,b,Research mode is designed for tasks requiring broad information gathering across multiple sources synthesis of findings and depth of coverage. Market analysis benefits directly from extended searches across multiple sources consolidated into structured output. Reformatting a PDF brainstorming and redlining are mechanical creative and editing tasks that do not require multi-source research.
